Provider,Tier,Latest Version,Latest Version Published,Created At,Days Since Update,,Protocol v4,Protocol v5,Protocol v6,,Cohort: Framework only,Cohort: SDKv2 only,Cohort: Framework+SDKv2,,Managed Resources,Resource Identities,Data Sources,Ephemeral Resources,List Resources,Actions,Provider Functions,Guides,Total Features,,Downloads,Version Count,Subcategories
aharriscybr/cyberarkoss,community,2.0.0,2024-03-22,2024-03-15,786,,,,✅,,✅,,,,4,0,1,0,0,0,0,0,5,,2.4K,4,0
aharriscybr/cybr-sh,community,0.1.0,2024-06-27,2024-06-27,689,,,✅,,,,✅,,,7,0,1,0,0,0,0,0,8,,489,1,0
ahauter/azure-b2c-ief,community,1.0.0,2026-02-13,2026-02-13,93,,,,✅,,✅,,,,2,0,0,0,0,0,0,0,2,,363,4,0
ahawkins/sops,community,0.5.3-rc2,2020-08-25,2020-08-25,2091,,,✅,,,,✅,,,0,0,2,0,0,0,0,0,2,,5.3K,1,0
ahmadalli/rabbitmq,community,1.8.1,2023-02-21,2023-02-20,1181,,,✅,,,,✅,,,11,0,0,0,0,0,0,0,11,,2.3K,2,0
ahmedaboukora/poctfstate,community,0.0.7,2024-12-11,2024-10-26,522,,,,✅,,✅,,,,1,0,1,0,0,0,1,0,3,,1.3K,7,0
ahmedali6/dokploy,community,0.7.0,2026-05-12,2026-01-08,5,,,,✅,,✅,,,,28,0,23,0,0,0,0,0,51,,1.5K,7,0
ahmedhesham6/hashicups,community,0.3.2,2023-12-23,2023-12-23,876,,,,✅,,✅,,,,1,0,1,0,0,0,0,0,2,,1.3K,1,0
ahrechushkin/icdc,community,1.0.2,2024-01-12,2023-12-13,856,,,✅,,,,✅,,,8,0,1,0,0,0,0,0,9,,5.6K,3,1
Ahton89/mongodb,community,0.2.12,2025-10-09,2025-01-28,220,,,,✅,,✅,,,,3,0,3,0,0,0,0,3,6,,10.7K,14,1
Ahton89/mongodb,community,0.2.12,2025-10-09,2025-01-28,220,,,,✅,,✅,,,,3,0,3,0,0,0,0,3,6,,10.7K,14,1
AI-Craft-Reprise/adverity,community,1.3.9,2022-10-20,2021-10-22,1305,,,✅,,,,✅,,,9,0,7,0,0,0,0,0,16,,175.4K,67,0
AI-Craft-Reprise/looker,community,0.9.3,2022-04-05,2022-04-04,1503,,,✅,,,,✅,,,17,0,0,0,0,0,0,0,17,,22.8K,4,0
AI21Labs/awscc,community,0.59.1,2023-08-14,2023-08-14,1007,,,,✅,,✅,,,,739,0,"1,248",0,0,0,0,0,"1,987",,2.3K,3,0
aidanleuck/jenkins,community,1.2.0,2025-12-14,2023-10-25,154,,,,✅,,✅,,,,1,0,1,0,0,0,0,0,2,,11.4K,10,0
aidanmelen/snowsql,community,1.3.3,2023-03-01,2021-08-29,1173,,,✅,,,,✅,,,1,0,1,0,0,0,0,1,2,,3.6M,18,0
aiell0/golinks,community,1.0.0,2025-12-30,2025-12-30,138,,,,✅,,✅,,,,1,0,2,0,0,0,0,0,3,,106,1,0
aimoda/corellium,community,0.0.3-alpha,2023-10-03,2023-07-24,957,,,✅,,,,✅,,,5,0,0,0,0,0,0,0,5,,2.0K,3,0
air-up-gmbh/autodns,community,0.1.2,2025-01-30,2024-11-29,472,,,,✅,,✅,,,,1,0,1,0,0,0,0,0,2,,711,3,0
airbytehq/airbyte,partner,1.2.0,2026-05-05,2023-06-16,12,,,,✅,,✅,,,,8,0,10,0,0,0,0,2,18,,5.7M,55,0
